customer_id,age,gender,annual_income,credit_score,employment_years,region,product,signup_year,notes,churned
1,34,M,72000,710,8,West,Pro,2019,Happy customer,0
2,52,F,48000,650,15,Northeast,Basic,2015,Occasional complaints,1
3,28,M,95000,760,3,South,Enterprise,2021,Early adopter,0
4,45,F,62000,690,12,Midwest,Plus,2017,Regular user,0
5,31,M,110000,780,5,West,Enterprise,2020,High spender,0
6,60,F,38000,580,25,Mountain,Basic,2012,At risk,1
7,39,M,85000,730,9,Northeast,Pro,2018,Satisfied,0
8,27,F,54000,670,2,South,Basic,2022,New customer,0
9,48,M,67000,705,18,West,Plus,2016,Long-term,0
10,35,F,92000,750,7,Midwest,Pro,2019,High value,0
11,55,M,44000,620,20,Northeast,Basic,2014,Passive,1
12,42,F,78000,720,11,South,Plus,2018,Active,0
13,29,M,103000,770,4,West,Enterprise,2021,Growing,0
14,50,F,57000,680,16,Mountain,Basic,2015,Stable,0
15,33,M,88000,740,6,Midwest,Pro,2019,Engaged,0
16,61,F,35000,560,28,South,Basic,2011,Declining,1
17,37,M,76000,715,8,Northeast,Plus,2018,Regular,0
18,44,F,99000,755,13,West,Enterprise,2017,Premium,0
19,26,M,51000,645,1,Midwest,Basic,2023,Trial user,1
20,49,F,83000,735,15,South,Pro,2016,Loyal,0
21,38,M,69000,700,9,Northeast,Plus,2018,Average,0
22,53,F,41000,595,22,Mountain,Basic,2013,At risk,1
23,30,M,115000,790,5,West,Enterprise,2020,Top tier,0
24,47,F,60000,685,14,Midwest,Plus,2016,Stable,0
25,36,M,90000,745,8,South,Pro,2019,Good standing,0
26,58,F,37000,570,26,Northeast,Basic,2012,Passive,1
27,41,M,80000,725,10,West,Plus,2017,Regular,0
28,32,F,97000,760,6,South,Enterprise,2020,Growing,0
29,46,M,55000,675,13,Mountain,Basic,2015,Average,0
30,40,F,85000,735,9,Midwest,Pro,2018,Satisfied,0
